population,generations,mutation_rate,crossover_rate,tournament_rate,average_fitness
333,21,0.004,0.85,0.65,327520.38
926,60,0.165,0.746,0.076,403558.31000000006
762,99,0.151,0.86,0.407,505722.95000000007
799,10,0.027,0.82,0.264,344402.27999999997
276,67,0.146,0.589,0.491,360412.7
479,91,0.035,0.726,0.492,514608.05999999994
337,65,0.227,0.501,0.158,231999.71000000002
101,36,0.037,0.788,0.231,387484.98
471,57,0.018,0.533,0.603,464906.7
774,52,0.015,0.907,0.08,527416.5
